chunk_size,ratio,arm,policy,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
134217728,0.5,E,layer_order_learned,0,3,80,10737418240,3913118954,46,72,0,34,10737418240,10737418240,54,91,0,0
134217728,0.5,E,layer_order_declared,0,1,80,10737418240,3127491937,26,52,0,34,8053063680,8053063680,58,82,0,0
134217728,0.5,E,layer_order_declared,0,2,80,10737418240,3367089965,26,52,0,34,8053063680,8053063680,57,80,0,0
134217728,0.5,E,layer_order_declared,0,3,80,10737418240,3305387388,27,53,0,34,8187281408,8187281408,56,61,0,0
134217728,0.5,C,lru,400000,1,80,10737418240,5739269933,80,72,0,0,10737418240,10737418240,80,94,0,0
134217728,0.5,C,lru,400000,2,80,10737418240,5909504045,80,72,0,0,10737418240,10737418240,80,79,0,0
134217728,0.5,C,lru,400000,3,80,10737418240,5942550958,80,72,0,0,10737418240,10737418240,80,94,0,0
134217728,0.5,D,layer_order_learned,400000,1,80,10737418240,5293205933,72,64,0,0,9663676416,9663676416,62,80,0,0
134217728,0.5,D,layer_order_learned,400000,2,80,10737418240,5165668938,71,63,0,0,9529458688,9529458688,62,95,0,0
134217728,0.5,D,layer_order_learned,400000,3,80,10737418240,5366253486,73,65,0,0,9797894144,9797894144,59,117,0,0
134217728,0.5,D,layer_order_declared,400000,1,80,10737418240,4529809663,55,47,0,0,7381975040,7381975040,54,66,0,0
134217728,0.5,D,layer_order_declared,400000,2,80,10737418240,4409796308,55,47,0,0,7381975040,7381975040,54,69,0,0
134217728,0.5,D,layer_order_declared,400000,3,80,10737418240,4470689578,55,47,0,0,7381975040,7381975040,54,63,0,0
134217728,0.5,E,layer_order_learned,400000,1,80,10737418240,4936657437,54,77,0,31,11408506880,11408506880,52,105,0,0
134217728,0.5,E,layer_order_learned,400000,2,80,10737418240,4346769006,45,66,0,29,9932111872,9932111872,45,95,0,0
134217728,0.5,E,layer_order_learned,400000,3,80,10737418240,4765232394,51,75,0,32,11140071424,11140071424,49,78,0,0
134217728,0.5,E,layer_order_declared,400000,1,80,10737418240,3737916910,26,52,0,34,8053063680,8053063680,54,30,0,0
134217728,0.5,E,layer_order_declared,400000,2,80,10737418240,3727689169,26,52,0,34,8053063680,8053063680,56,22,0,0
134217728,0.5,E,layer_order_declared,400000,3,80,10737418240,3657684605,26,52,0,34,8053063680,8053063680,55,21,0,0
134217728,0.75,C,lru,0,1,80,10737418240,5004524025,80,68,0,0,10737418240,10737418240,80,120,0,0
134217728,0.75,C,lru,0,2,80,10737418240,4751170492,80,68,0,0,10737418240,10737418240,79,138,0,0
134217728,0.75,C,lru,0,3,80,10737418240,4851892510,80,68,0,0,10737418240,10737418240,79,126,0,0
134217728,0.75,D,layer_order_learned,0,1,80,10737418240,2545857631,41,29,0,0,5502926848,5502926848,40,88,0,0
134217728,0.75,D,layer_order_learned,0,2,80,10737418240,2490250472,41,29,0,0,5502926848,5502926848,40,74,0,0
134217728,0.75,D,layer_order_learned,0,3,80,10737418240,2640671217,41,29,0,0,5502926848,5502926848,40,95,0,0
134217728,0.75,D,layer_order_declared,0,1,80,10737418240,2281646777,35,23,0,0,4697620480,4697620480,35,61,0,0
134217728,0.75,D,layer_order_declared,0,2,80,10737418240,2271720376,35,23,0,0,4697620480,4697620480,34,82,0,0
