combo,chunk_size,ratio,compute,rep,touches,absent_handled,evictions,pager_bytes_fetched,io_read_bytes_delta,wall_ns,rc
allthreads_off,8388608,0.5,0,2,1280,768,640,6442450944,6442450944,3548134768,0
allthreads_off,8388608,0.5,0,3,1280,768,640,6442450944,6442450944,3472471622,0
allthreads_off,8388608,0.5,400000,1,1280,768,640,6442450944,6442450944,4204708136,0
allthreads_off,8388608,0.5,400000,2,1280,768,640,6442450944,6442450944,4195925299,0
allthreads_off,8388608,0.5,400000,3,1280,768,640,6442450944,6442450944,4344008026,0
allthreads_off,8388608,0.75,0,1,1280,512,320,4294967296,4294967296,2699728677,0
allthreads_off,8388608,0.75,0,2,1280,512,320,4294967296,4294967296,2445978577,0
allthreads_off,8388608,0.75,0,3,1280,512,320,4294967296,4294967296,2509409604,0
allthreads_off,8388608,0.75,400000,1,1280,512,320,4294967296,4294967296,2960132417,0
allthreads_off,8388608,0.75,400000,2,1280,512,320,4294967296,4294967296,3379920995,0
allthreads_off,8388608,0.75,400000,3,1280,512,320,4294967296,4294967296,3495919284,0
allthreads_off,134217728,0.25,0,1,80,70,66,9395240960,9395240960,4307656787,0
allthreads_off,134217728,0.25,0,2,80,70,66,9395240960,9395240960,4187790799,0
allthreads_off,134217728,0.25,0,3,80,70,66,9395240960,9395240960,4267229830,0
allthreads_off,134217728,0.25,400000,1,80,70,66,9395240960,9395240960,5089145457,0
allthreads_off,134217728,0.25,400000,2,80,70,66,9395240960,9395240960,5062985988,0
allthreads_off,134217728,0.25,400000,3,80,70,66,9395240960,9395240960,4967465779,0
allthreads_off,134217728,0.5,0,1,80,50,42,6710886400,6710886400,3244013349,0
allthreads_off,134217728,0.5,0,2,80,50,42,6710886400,6710886400,3367259854,0
allthreads_off,134217728,0.5,0,3,80,50,42,6710886400,6710886400,3307529138,0
allthreads_off,134217728,0.5,400000,1,80,50,42,6710886400,6710886400,4014257187,0
allthreads_off,134217728,0.5,400000,2,80,50,42,6710886400,6710886400,4125656824,0
allthreads_off,134217728,0.5,400000,3,80,50,42,6710886400,6710886400,4120850149,0
allthreads_off,134217728,0.75,0,1,80,32,20,4294967296,4294967296,2352418645,0
allthreads_off,134217728,0.75,0,2,80,32,20,4294967296,4294967296,2205734383,0
allthreads_off,134217728,0.75,0,3,80,32,20,4294967296,4294967296,3104968827,0
allthreads_off,134217728,0.75,400000,1,80,32,20,4294967296,4294967296,3959151897,0
allthreads_off,134217728,0.75,400000,2,80,32,20,4294967296,4294967296,3171604712,0
